\,16\,23\,\,\,14\,10\,11\,\,\,12\,6\,15\,12\
\12,,,\,14\11,,,,23\,\13,,,,
\17,,,12\32,,,,,,28\11,,,,
\24,,,,,\,26\26,,,,,\4,,
\,\,16\6,,,23\24,,,,,6\,37\6,,
\,17\18,,,,,,\,38\11,,,,,\
\3,,,\,16\12,,,8\26,,,,,23\,7\
\12,,,40\34,,,,,,23\,\10,,,
\23,,,,,\,34\16,,,,33\20,,,
\,\6,,,,7\36,,,,,,,,
\,9\,22\21,,,,,7\26,,,,,16\,\
\44,,,,,,,,,\9,,,,21\
\8,,,,\6,,,,10\,20\28,,,,
\12,,,,13\,23\27,,,,,,\9,,
\,\,22\15,,,,,\8,,,12\,15\10,,
\,29\30,,,,,7\,10\32,,,,,,\
\9,,,\,7\11,,,,,\4,,,10\,7\
\13,,,12\13,,,,,10\,7\10,,,,
\12,,,,,\19,,,,,,\5,,
\27,,,,,\,\10,,,,\,\8,,
