\,22\,34\,\,7\,28\,4\,6\,\,8\,13\,26\,34\,14\
\12,,,\11,,,,,\34,,,,,
\15,,,23\14,,,,,\16,,,,,
\33,,,,,,6\,18\,\,7\,17\23,,,
\11,,,,\6,,,,\20,,,,,4\
\21,,,,\10,,,,29\8,,,\6,,
\,16\,17\,30\,\,22\,8\27,,,,,\4,,
\22,,,,\15,,,,,38\,20\,\,13\,20\
\24,,,,22\38,,,,,,,\11,,
\,15\,24\25,,,,,\14,,,,12\16,,
\34,,,,,,16\,\,15\16,,,,,
\16,,,\6,,,,33\28,,,,,8\,3\
\10,,,\22,,,,,,,\7,,,
\,10\,22\,\,9\,21\25,,,,,\10,,,
\3,,,\25,,,,,10\,30\,\,17\,16\,35\
\14,,,16\9,,,\22,,,,\19,,,
\,6\12,,,,,\10,,,,23\9,,,
\6,,,,6\,13\,\,9\,7\34,,,,,
\28,,,,,,\29,,,,,\8,,
\16,,,,,,\15,,,,,\13,,
