\,14\,30\,10\,22\,\,\,\,14\,33\,4\,21\,\,\
\28,,,,,41\,\,14\25,,,,,24\,\
\16,,,,,,16\24,,,,,,,22\
\16,,,26\37,,,,,,,29\23,,,
\13,,,,15\17,,,24\,15\13,,,\11,,
\,\28,,,,,41\30,,,,,23\12,,
\,\,23\29,,,,,,,23\24,,,,\
\,13\4,,,\24,,,,30\21,,,,39\,\
\14,,,,5\14,,,17\10,,,\17,,,11\
\12,,,,,12\15,,,,,7\8,,,
\11,,,12\29,,,,,,,,22\10,,
\10,,,,\11,,,,,28\11,,,,
\,\6,,,11\8,,,14\10,,,\14,,,
\,\,22\7,,,,9\13,,,,6\15,,,\
\,8\12,,,,34\23,,,,,,,16\,\
\4,,,\25,,,,,14\22,,,,,14\
\8,,,13\12,,,17\,16\11,,,7\11,,,
\11,,,,17\23,,,,,,,12\6,,
\,\38,,,,,,,\17,,,,,
\,\,\30,,,,,\,\,\17,,,,
